Pos,Team,Team Sym,Plyd,Won,LOst,tied,net rr,pts
1,Mumbai Indians,(MI),14,9,5,0,+1.107,18
2,Delhi Capitals,(DC),14,8,6,0,-0.109,16
3,Sunrisers Hyderabad,(SRH),14,7,7,0,+0.608,14
4,Royal Challengers Bangalore,(RCB),14,7,7,0,-0.172,14
5,Kolkata Knight Riders,(KKR),14,7,7,0,-0.214,14
6,Kings XI Punjab,(KXIP),14,6,8,0,-0.162,12
7,Chennai Super Kings,(CSK),14,6,8,0,-0.455,12
8,Rajasthan Royals,(RR),14,6,8,0,-0.569,12
